0,1,2,3,4,5
1606268700000,0.004092,0.004152,0.004092,0.00414,55600019.0
1606269600000,0.004142,0.004146,0.004032,0.004082,59347296.0
1606270500000,0.004085,0.0041,0.003915,0.003944,125642947.0
1606271400000,0.003945,0.004001,0.003904,0.00398,113034888.0
1606272300000,0.003979,0.004002,0.003905,0.003991,85853062.0
1606273200000,0.003991,0.004003,0.003936,0.003985,67086660.0
1606274100000,0.003985,0.004038,0.003985,0.003999,48809615.0
1606275000000,0.004007,0.004007,0.003883,0.003911,73649861.0
1606275900000,0.003912,0.003932,0.003839,0.003877,127337555.0
1606276800000,0.003879,0.003936,0.003847,0.00392,63678909.0
1606277700000,0.003919,0.003956,0.003919,0.003937,33079252.0
1606278600000,0.003937,0.003998,0.003928,0.003966,69119234.0
1606279500000,0.003966,0.00399,0.003928,0.003936,50378893.0
1606280400000,0.003935,0.004007,0.003923,0.003982,58002511.0
1606281300000,0.003983,0.004027,0.003973,0.004019,46736440.0
1606282200000,0.00402,0.004047,0.003996,0.004019,47807261.0
1606283100000,0.004019,0.004027,0.003982,0.00399,20957361.0
1606284000000,0.00399,0.004018,0.003977,0.003997,37035909.0
1606284900000,0.003997,0.004009,0.003985,0.004001,24634140.0
1606285800000,0.004006,0.004019,0.003973,0.003987,43128636.0
1606286700000,0.003988,0.004026,0.003983,0.004015,35274761.0
1606287600000,0.004016,0.004047,0.004006,0.004044,29305712.0
1606288500000,0.004044,0.004048,0.004019,0.004026,22703871.0
1606289400000,0.004027,0.004113,0.004015,0.004096,134046399.0
1606290300000,0.004096,0.004114,0.004022,0.004044,101036200.0
1606291200000,0.004045,0.004091,0.003985,0.003999,115386317.0
1606292100000,0.003995,0.004024,0.003979,0.003988,55408807.0
1606293000000,0.003989,0.004047,0.003978,0.00403,65913021.0
1606293900000,0.004032,0.004059,0.003996,0.004012,84992547.0
1606294800000,0.00401,0.004025,0.00397,0.003988,39519889.0
1606295700000,0.003991,0.004071,0.003986,0.004046,59287573.0
1606296600000,0.004047,0.004109,0.004044,0.00409,57809244.0
1606297500000,0.004089,0.004094,0.00407,0.004072,22758839.0
1606298400000,0.004072,0.004084,0.004033,0.004043,79010465.0
1606299300000,0.004042,0.004057,0.004017,0.004051,30716557.0
1606300200000,0.00405,0.004051,0.003998,0.004023,33210732.0
1606301100000,0.004023,0.004047,0.004016,0.004033,34321942.0
1606302000000,0.004036,0.004098,0.004021,0.004055,47750286.0
1606302900000,0.004059,0.004087,0.004023,0.004036,69328378.0
1606303800000,0.004035,0.004069,0.004018,0.004055,22563570.0
1606304700000,0.004055,0.004064,0.004019,0.004063,53897931.0
1606305600000,0.004064,0.004122,0.004032,0.004039,137360593.0
1606306500000,0.00404,0.00409,0.004023,0.004069,70184123.0
1606307400000,0.004071,0.004117,0.004048,0.004095,82328470.0
1606308300000,0.004095,0.00416,0.004081,0.004116,144845227.0
1606309200000,0.004116,0.004122,0.004059,0.004079,78746261.0
1606310100000,0.004079,0.004155,0.004078,0.00414,139333532.0
1606311000000,0.004139,0.004166,0.004082,0.004086,119241156.0
1606311900000,0.004084,0.004086,0.003953,0.004019,263810159.0
1606312800000,0.004021,0.004044,0.003979,0.004001,87051204.0
1606313700000,0.004003,0.004043,0.004002,0.004019,55555967.0
1606314600000,0.004022,0.004089,0.004022,0.004062,97254955.0
1606315500000,0.004061,0.004093,0.004027,0.004069,83399188.0
1606316400000,0.00407,0.004093,0.004057,0.00409,26646000.0
